institution,course,type,salary6monthsafter,mediantariff
10007857,Sports  Science,BSc,17000,112
10007857,Sports  Science  (Outdoor  Activities),BSc,17000,160
10007857,Welsh  (For  Beginners),BA,18000,165
10007857,Welsh  History  and  History,BA,17000,120.4
10007857,Zoology,BSc,15000,124
10007857,Zoology,MZOOL,15000,135.5
10007857,Zoology  With  Animal  Behaviour,BSc,15000,144
10007857,Zoology  With  Animal  Behaviour,MZOOL,15000,153
10007857,Zoology  With  Conservation,BSc,15000,112
10007857,Zoology  With  Conservation,MZOOL,15000,165
10007857,Zoology  With  Herpetology,BSc,15000,151.5
10007857,Zoology  With  Herpetology,MZOOL,15000,137
10007857,Zoology  with  Marine  Zoology,MZOOL,15000,137
10007857,Zoology  With  Marine  Zoology,BSc,15000,135.5
10000571,Acting,BA,17000,146.36842
10000571,Acting  with  Professional  Placement  Year,BA,17000,134.875
10000571,Biology,BSc,18000,106
10000571,Biology  (Conservation  Biology),BSc,18000,105
10000571,Biology  (Conservation  Biology)  with  year  in  professional  practice,BSc,18000,105
10000571,Biology  (Human  Biology),BSc,18000,105
10000571,Biology  (Human  Biology)  with  year  in  professional  practice,BSc,18000,105
10000571,Biology  with  year  in  professional  practice,BSc,18000,105
10000571,Business  &  Management  (Accounting),BA,20000,115
10000571,Business  &  Management  (Accounting)  with  Professional  Practice  Year,BA,20000,115
10000571,Business  &  Management  (Entrepreneurship),BA,20000,107.59091
10000571,Business  &  Management  (Entrepreneurship)  with  Professional  Practice  Year,BA,20000,107.59091
10000571,Business  &  Management  (Festivals  and  Events),BA,20000,107.59091
10000571,Business  &  Management  (Festivals  and  Events)  with  Professional  Practice  Year,BA,20000,107.59091
10000571,Business  &  Management  (Human  Resource  Management)  with  Professional  Practice  Year,BA,20000,123.25
